Name,ACT Median,SAT Average,Average Cost,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,Average Family Income,Median Family Income,Admission Rate
Florida Atlantic University,22,1039,19131,12500,17250,9500,46536.36,32086,0.4773
Florida Gulf Coast University,22,1024,18097,11625,18500,8250,62264.97,46981,0.6579
Florida Institute of Technology,26,1153,52490,8509,26158,7227,87401.79,73416.5,0.6045
Florida International University,26,1154,18426,13750,17750,10500,38171.07,27626,0.4304
Florida Memorial University,0,0,25036,23750,44500,19000,29533.62,21893.5,0.4159
Florida Southern College,25,1102,38413,18375,25000,9500,68962.06,56919.5,0.4989
Florida State University,27,1212,20774,18750,21000,12999.5,68162.48,51372.5,0.5681
Fontbonne University,23,1070,30833,25000,27750,20987.5,61278.18,45291,0.6524
Fordham University,28,1258,56604,21500,25000,9652,96092.62,74870,0.4713
Fort Hays State University,21,990,15395,11606,20075,8429,55153.96,48317,0.8917
Fort Lewis College,23,1049,19565,10500,20000,6250,64088.61,47128,0.875
Fort Valley State University,0,830,19801,19000,35500,14250,42540.16,30464.5,0.3273
Framingham State University,22,1040,21402,15522.5,23853,8250,78825.5,72222.5,0.5167
Francis Marion University,20,938,19965,19250,31251,11625,52223.66,38222,0.5667
Franciscan University of Steubenville,26,1163,32761,20500,25000,10000,94321.98,82655.5,0.7607
Franklin and Marshall College,0,0,58518,23000,25000,10000,130432.83,113508,0.3931
Franklin Pierce University,19,975,44410,15289,27000,9211,80237.61,68287,0.8472
Freed-Hardeman University,24,1098,32814,19125,26950,9502,69532.63,64443,0.9203
Fresno Pacific University,20,979,33973,16802,19205,14500,56054.12,44931.5,0.7844
Friends University,21,977,33388,20834,25000,20000,56227.91,45203.5,0.5862
Frostburg State University,20,963,19454,16750,22617.5,9500,78080.06,68365.5,0.5945
Furman University,28,1237,55434,20500,24736.5,8750,111409.56,93139.5,0.6397
Gallaudet University,18,841,29852,12000,16320.5,7603,42756.46,26730,0.6558
Gannon University,23,1050,37572,22068,27000,9500,72631.28,68879,0.8042
Gardner-Webb University,22,1018,35790,17840,23377,9978.5,57914.44,46379.5,0.4817
Geneva College,23,1070,34818,20593,26484.5,12108,67412.84,60823.5,0.6802
George Fox University,23,1070,41836,18750,22000,10500,78838.13,66182,0.7528
George Mason University,26,1155,22332,17250,20250,11000,72029.93,53311,0.6203
George Washington University,29,1297,58925,22723,25175,13500,105732.4,85746,0.3308
Georgetown College,24,1085,42036,21445,27000,12000,85596.2,79282.5,0.8219
Georgetown University,31,1398,59900,17125,17500,12000,87179.34,60247,0.1697
Georgia College and State University,24,1126,23052,16250,21304,11000,81197.18,72314,0.6798
Georgia Institute of Technology-Main Campus,30,1352,21980,20750,22750,14000,94533.48,82697,0.5493
Georgia Regents University,21,1002,7715,6250,10000,5500,0,0,0.4103
Georgia Southern University,23,1094,21513,16250,21927,10750,75183.28,61757,0.52
Georgia Southwestern State University,20,950,17839,14500,20000,11000,45710.89,31658.5,0.6803
Georgia State University,23,1060,23124,17070,23000,12500,53412.71,38306,0.5466
Georgian Court University,0,900,38533,19500,25537.5,12000,71795.42,59396,0.779
Gettysburg College,28,1282,55770,19957,22227,7000,131825.39,107490,0.4163
Glenville State College,19,879,19910,13282.5,27000,9500,42335.34,32757,0.7446
Gonzaga University,27,1204,46475,26035,27000,16049.5,102446.28,87057,0.6651
Gordon College,26,1156,43140,23000,27000,12000,97646.34,88787,0.4133
Goucher College,0,0,50840,19500,25000,9500,103640.46,88524,0.7173
Grace College and Theological Seminary,23,1050,32506,17675,22700,7738.5,78685.69,71611,0.7884
Graceland University-Lamoni,21,969,34494,18089.5,25000,10500,59558.41,52671.5,0.5018
Grambling State University,18,863,20881,23750,38172.5,17412,34278.86,23973,0.4363
Grand Valley State University,24,1090,21512,20898.5,26500,12000,78034.29,72885.5,0.826
Grand View University,21,979,31761,18500,25000,10300,64073.16,54502,0.9542
Greenville College,22,1033,33675,16568,24550,12000,65457.64,61294,0.657
Grinnell College,30,1357,53318,10022.5,10775,7950,98649.16,88440,0.3506
Guilford College,23,1067,44255,18500,27325,9250,57515.57,36082.5,0.6818
Gustavus Adolphus College,27,1224,48422,26000,27000,11440,108308.7,93107,0.6322
Gwynedd Mercy University,19,944,39051,20250,26000,11597,79474.28,70168,0.6591
Hamilton College,31,1384,57420,15500,16500,7475,110802.25,99145,0.2719
Hamline University,24,1106,43433,18250,25018.5,12000,71451.3,61451,0.6557
Hampden-Sydney College,25,1113,49139,19500,27000,7221,123258.46,105824,0.5486
Hampshire College,0,0,57765,16250,20000,8750,102781.22,88959,0.6369
Hampton University,21,990,32358,22870,27474,13050,69758.11,55050,0.3605
Hanover College,26,1130,42198,22225,27000,5500,90897.96,82681,0.6673
Harding University,25,1139,25475,19801.5,26250,12500,83726.71,76594,0.7628
Hardin-Simmons University,23,1035,32001,16137,27000,7500,71686.11,60884,0.3759
Hartwick College,25,1126,48699,19500,27000,8500,92072.97,77126,0.8424
Harvard University,34,1501,57950,7500,6000,12500,60645.79,33323.5,0.0584
Hastings College,24,1083,35673,20500,27000,9750,80636.78,72062,0.7364
Haverford College,32,1400,59654,13399,13852.5,6500,108246.15,89312.5,0.2349
Hawaii Pacific University,22,1005,29762,16250,25000,10308,58493.03,41600,0.6411
Henderson State University,22,1011,18033,10443,20191,8500,44544.81,32258,0.6221
Hendrix College,29,1267,50172,19500,24924,13500,100605.48,80333,0.8039
High Point University,24,1087,42300,18250,25394.5,7080,62315.07,47907.5,0.6418
Hiram College,22,1030,42672,21333.5,27000,10500,70702.85,63023.5,0.5736
Hobart William Smith Colleges,0,0,57699,26500,27000,12000,112124.84,95616.5,0.4944
Hodges University,0,0,23659,14900,27607.5,11109.5,38391.52,27787,0.8281
Hofstra University,26,1165,49604,19150,23900,10900,90094.08,74751,0.5871
Holy Family University,19,933,31949,22498.5,27000,11000,66036.94,58483.5,0.7585
Hood College,22,1030,45230,22375,27000,12500,80494.07,72812,0.8102
Hope College,27,1204,38593,25000,27000,14025,107260.41,91493,0.7253
Houghton College,25,1113,38352,19000,23500,18750,70824.5,62241.5,0.9108
Houston Baptist University,24,1075,36095,12500,25000,8250,52507.59,34306,0.7318
Howard Payne University,20,953,32861,12275,23412.5,9500,57439.52,46720,0.5382
Howard University,24,1081,40129,24250,27000,15750,63421.37,47531,0.493
Humboldt State University,21,1008,23113,15000,20250,10730,47467.44,26935.5,0.8018
Huntingdon College,22,999,31433,16850,27000,9500,63952.76,54275.5,0.6279
Huntington University,24,1054,34764,21875,27000,13362,78159.98,72496.5,0.9732
Husson University,19,962,25019,21329,26000,12466,54963.01,46670,0.7989
Illinois Institute of Technology,28,1252,48940,22015,26981.5,12000,69130.16,55985.5,0.5697
Illinois State University,24,1110,25416,18750,22500,9500,86459.94,82019,0.6892
Illinois Wesleyan University,28,1241,48522,25000,27000,9000,113545.76,103114.5,0.5838
Immaculata University,20,943,45011,22000,26000,14073.5,72962.38,62480,0.7964
Indiana Institute of Technology,20,934,35911,10250,28743.5,9500,54055.17,43973.5,0.7225
Indiana State University,19,910,19549,11726.5,24193,9500,60917.09,52313,0.8306
Indiana University of Pennsylvania-Main Campus,20,973,22936,20500,27000,11388,70406.75,63430,0.9049
Indiana University-Bloomington,27,1198,23043,19500,23628,15000,92768.66,80326,0.7217
Indiana University-East,21,943,15334,13336,23388,9552,41221.38,33572,0.5381
Indiana University-Kokomo,21,950,15874,12050,19500,9500,53539.93,42220,0.7355
Indiana University-Northwest,20,918,18092,14950,29036.5,12265.5,44723.98,29342,0.7625
Indiana University-Purdue University-Fort Wayne,22,996,18837,15517,26000,10791,55513.79,45905.5,0.8309
Indiana University-Purdue University-Indianapolis,22,1013,20846,16500,25388,12287,56695.09,43017,0.6958
Indiana University-South Bend,21,962,17377,14000,25724,10250,52103.27,42462,0.7003
Indiana University-Southeast,20,950,16753,12500,22915,9500,51830.59,41532,0.7945
Indiana Wesleyan University,24,1083,33770,21500,24806.5,12125,69016.27,61954.5,0.9515
Inter American University of Puerto Rico-Aguadilla,0,0,10896,7250,8500,7000,17971.97,13417.5,0.8642
Inter American University of Puerto Rico-Arecibo,0,0,12408,7250,8500,7000,17971.97,13417.5,0.47
Inter American University of Puerto Rico-Barranquitas,0,0,11331,7250,8500,7000,17971.97,13417.5,0.4761
Inter American University of Puerto Rico-Bayamon,0,0,10413,7250,8500,7000,17971.97,13417.5,0.4439
Inter American University of Puerto Rico-Fajardo,0,0,10578,7250,8500,7000,17971.97,13417.5,0.7632
Inter American University of Puerto Rico-Guayama,0,0,11944,7250,8500,7000,17971.97,13417.5,0.7286
Inter American University of Puerto Rico-Metro,0,0,13319,7250,8500,7000,17971.97,13417.5,0.3711
Inter American University of Puerto Rico-Ponce,0,0,10884,7250,8500,7000,17971.97,13417.5,0.5307
Inter American University of Puerto Rico-San German,0,0,10830,7250,8500,7000,17971.97,13417.5,0.6976
Iona College,22,1009,44623,21000,25250,12000,94283.08,79521,0.9212
Iowa State University,25,1145,18820,19750,25250,9751,81434.68,73557,0.8252
Ithaca College,0,0,53521,23251,26300,9026,103308.55,92718,0.666
Jackson State University,19,910,18724,23750,31000,19500,29677.48,21113,0.6464
Jacksonville State University,23,1036,19202,16500,23500,12000,47062.65,35158,0.8326
Jacksonville University,22,1010,42459,15000,22334,11145,68702.63,55957,0.4737
James Madison University,25,1149,21980,18500,20683.5,9500,108473.44,99908,0.6356
John Brown University,25,1144,33326,17900,22500,13000,65047.55,53841.5,0.6982
John Carroll University,25,1112,45714,23489.5,27000,9548.5,104804.16,88730,0.8334
Johns Hopkins University,32,1418,58980,17500,18500,15504,83968.47,57761.5,0.1813
Johnson & Wales University-North Miami,0,0,38974,20667,27000,11000,71585.99,55421,0.6496
Johnson & Wales University-Providence,0,0,40136,20667,27000,11000,71585.99,55421,0.7602
Johnson C Smith University,17,826,30314,18750,32000,11000,45964.04,34256.5,0.3668
Johnson State College,19,948,20404,18000,26268,12000,55871.96,43579,0.9688
Judson University,23,1045,37635,18245.5,25000,9500,73319.5,67400.5,0.7069
Juniata College,0,0,47269,26976.5,27000,8750,90303.29,81010.5,0.7409
Kalamazoo College,28,1240,48547,24000,27000,12000,108955.67,97614,0.6689
Kansas State University,0,0,20140,17000,22500,10500,76027.75,66719,0.9591
Kean University,0,905,19462,18750,24000,12500,60112.31,44190,0.8037
Keene State College,0,975,24614,20000,26000,7550,90119.45,83694,0.8185
Kennesaw State University,23,1068,20630,15000,22500,11000,57729.39,41150.5,0.5654
Kent State University at Kent,23,1048,23995,16500,26225,10500,61046.44,51560,0.8302
Kentucky State University,18,860,18387,14750,34942,12157,41361.97,31104,0.3774
Kenyon College,30,1328,57910,16491,18304.5,10000,124272.54,110054,0.3838
Kettering University,27,1198,49303,22500,26761.5,20000,88987.34,83977,0.6159
Keuka College,0,0,42008,21825,26897.5,16953,64310.04,56190,0.8778
Keystone College,19,901,31012,16836,26000,12000,53936.18,45833,0.7205
King University,23,1039,36533,17910,20500,13750,59579.65,52011,0.6377
King's College,0,0,41453,22250,27000,9500,86028.03,78687.5,0.7151
Knox College,0,0,46291,25000,27000,12900,92964.36,84560.5,0.7496
Kutztown University of Pennsylvania,20,959,23130,18750,26000,9500,79126.45,74351,0.8179
La Roche College,21,931,35493,18750,25000,9500,67680.38,62381,0.5565
La Salle University,22,996,47134,20616.5,27000,12431.5,83518.91,71045.5,0.8021
La Sierra University,20,926,39842,14500,27000,12000,65695.31,51186,0.4677
Lafayette College,29,1283,57688,21648,24338,6500,122599.26,107123,0.3414
Lake Forest College,26,1157,49743,24000,27000,9500,96529.57,81078,0.5727
Lake Superior State University,23,1050,19571,16563,25869,9750,56752.05,48687,0.9183
Lakeland College,22,1007,32706,19023.5,27000,12500,56436.15,45209,0.6621
Lamar University,21,974,21142,12500,23182,9500,44121.96,31781.5,0.7682
Lancaster Bible College,19,982,27372,12000,18750,8750,66006.2,60888,0.5813
Lander University,20,945,21628,15250,26780,9500,57754.73,45814,0.4216
Lane College,15,716,17406,16018,31478,9500,31750.65,25617,0.4916
Lasell College,21,974,43854,23000,26000,8750,86819.79,77869,0.7614
Lawrence Technological University,25,1145,39890,21500,27850,13875,74787.91,63620,0.4365
Lawrence University,0,0,50570,27000,27050,16000,104424.87,91379,0.7269
Le Moyne College,24,1080,42068,21216.5,25750,11500,75088.06,62276,0.619
Le Moyne-Owen College,16,760,16427,12250,0,12240,24665.5,17437.5,0.2335
Lebanon Valley College,25,1112,46169,24500,27000,10500,92767.68,88001.5,0.6686
Lee University,24,1094,23554,17686.5,28000,10837.5,64378.91,54410,0.9165
Lehigh University,30,1322,55441,22500,24750,13000,125770.36,102543,0.3084
Lenoir-Rhyne University,21,976,39425,17714,25000,9500,74504.47,62412.5,0.6806
Lesley University,24,1065,47788,19500,25000,12874.5,70943.6,55849,0.6749
LeTourneau University,26,1175,37031,23250,29250,15750,57117.48,44614.5,0.4066
Lewis & Clark College,29,1279,53455,19115,22389.5,10500,83576.98,67573,0.6285
Lewis University,24,1088,34079,20000,25000,15223,78739.55,71614,0.5587
Lewis-Clark State College,20,936,16184,12500,22231,9200,39595.63,30202,0.9977
Liberty University,23,1030,31344,12612,24750,9874,62521.01,51134,0.2165
Limestone College,22,1010,34658,20000,29250,12500,43422.74,31465.5,0.5322
Lincoln Memorial University,23,1054,31241,15000,18832,9500,41205.47,31386,0.6995
Lincoln University of Pennsylvania,18,853,22497,24376,33830,14778,44650.53,35974,0.6133
Lindenwood University,23,1045,30193,20500,27000,14000,74703.81,62127,0.6629
Linfield College-McMinnville Campus,24,1090,45708,22697,25000,12000,79097.27,65697,0.9219
Lipscomb University,25,1149,37181,14500,22125,9500,86133.94,79148,0.527
LIU Brooklyn,20,921,42712,18325.5,25000,12500,19232.08,15328,0.869
LIU Post,21,974,44701,18325.5,25000,12500,57894.33,39528,0.8067
Livingstone College,15,723,25050,16750,40000,9500,36233.21,28538.5,0.7122
Lock Haven University,20,937,19145,18162,27000,9283.5,66735.94,61119,0.8777
Longwood University,21,1002,23707,19000,25327,11125,85619.87,82459,0.8136
Loras College,24,1088,37622,24225,27000,8000,89740.93,79300,0.6903
Louisiana College,21,968,22940,11750,22707,9201,62856.44,49554.5,0.7423
Louisiana State University and Agricultural & Mechanical College,26,1162,20422,13000,19500,8250,70702.73,52648,0.7623
Louisiana State University-Alexandria,20,950,14276,9000,17750,6500,35477.1,25217,0.6074
Louisiana State University-Shreveport,22,1030,15066,12500,20322,10500,42687.86,28984,0.8349
Louisiana Tech University,24,1089,16983,13632.5,20984.5,8583,57506.42,43568,0.6744
Lourdes University,0,0,27429,20000,32650,14250,46909.66,30582.5,0.6932
Loyola Marymount University,27,1202,55432,20201.5,22299.5,13562.5,101494.67,76696,0.5412
Loyola University Chicago,27,1195,47727,22934,25751,11000,85748.31,67583.5,0.914
Loyola University Maryland,27,1194,56736,26000,27000,8490.5,134101.78,112164,0.58
Loyola University New Orleans,25,1143,46676,18500,26070,11250,88998.94,72625,0.8707
Lubbock Christian University,22,1010,28493,18500,24998,12500,62284.68,49495,0.9489
Luther College,26,1175,46548,26902,27000,11500,99210.06,90605,0.7212
Lycoming College,24,1047,44256,27000,27000,9500,84603.86,75474,0.7162
Lynchburg College,22,1002,41818,21500,27000,18000,90083.99,77604,0.6369
Lyndon State College,20,930,19178,14200,26900,8535.5,65000.85,56155,0.9934
Lynn University,20,940,48735,13000,19500,8750,87543.56,56163,0.776
Macalester College,31,1350,55393,21996.5,23501.5,13717.5,93155.63,85439.5,0.3416
Madonna University,22,1034,22629,21733,25000,18869,58679.09,41119.5,0.6125
Malone University,23,1046,35213,19549,25500,12000,67635.7,63498,0.7179
Manchester University,22,1017,38505,19500,27000,5500,76767.12,74409.5,0.7116
Manhattan College,25,1090,44895,21500,25500,9500,104919.34,94555,0.6617
Manhattanville College,0,1075,49907,18750,26000,9500,85034.73,68915,0.7674
Mansfield University of Pennsylvania,21,964,21432,19000,27000,9500,60395.19,53497,0.9229
Marian University,20,950,33656,21500,27000,11000,65324.46,61347,0.7561
Marian University,22,1024,39369,23412.5,30090,10500,61627.36,48632,0.5795
Marietta College,24,1105,42205,22353,27000,9500,82604.15,71762,0.6387
Marist College,0,0,45962,22034,25500,10661.5,113031.97,104976.5,0.3745
Marquette University,27,1217,46649,24760,27000,11000,105199.44,93069,0.5745
Mars Hill University,20,941,36669,12000,26750,9500,61433.56,50049,0.6447
Marshall University,22,1022,16361,14726.5,23804,9750,51886.47,41261,0.7868
Mary Baldwin College,22,959,39432,18750,27250,12500,62677.27,51999,0.8835
Marygrove College,16,780,25733,16750,35000,11369,31358.87,20826,0.9378
Maryland Institute College of Art,0,1175,52649,23000,27000,11125,99535.03,89961,0.5803
Marymount Manhattan College,24,1053,45323,15516,23000,8250,95424.1,75779,0.7463
Marymount University,22,1030,36832,20500,25000,15319,75571.78,57612,0.8252
Maryville College,24,1068,41481,19000,27000,13500,70519.43,61945.5,0.7259
Maryville University of Saint Louis,25,1142,37968,19909,24990,14000,76255.16,65418,0.7611
Marywood University,0,1050,41657,23250,27000,12000,69787.79,61757,0.713
Massachusetts College of Art and Design,25,1081,25384,22500,26000,12000,74521.53,60374,0.6982
Massachusetts College of Liberal Arts,23,1032,20025,18499,25000,10500,64872.32,56421.5,0.672
Massachusetts Institute of Technology,34,1503,57010,13000,13645,10515,95848.89,79076,0.0815
Massachusetts Maritime Academy,22,1051,22420,23250,27000,12000,89790.92,86279,0.7726
McDaniel College,24,1105,45866,22000,27000,12000,97433.64,89429,0.7587
McKendree University,23,1046,37004,17613,24250,10500,61352.61,52208,0.6289
McMurry University,21,982,34650,16865,27000,9500,57874.34,44039,0.5924
McNeese State University,22,1030,14823,12806,21750,9500,47180.78,33535,0.6151
MCPHS University,24,1094,43966,25000,25000,9500,75646.39,61624,0.8921
Medaille College,0,865,30598,17363,25000,11500,59348.87,50094,0.5429
Mercer University,26,1171,46382,21500,26000,13000,65979.68,48287.5,0.69
Mercy College,0,0,26740,14750,22628.5,11073,37305.82,28188,0.5724
Mercyhurst University,24,1064,42367,16000,25000,11000,76674.92,66871,0.7536
Meredith College,23,1040,39296,20500,27000,9500,75153.97,56959.5,0.6232
Merrimack College,0,0,46532,20000,27000,5500,115893.15,108518,0.786
Messiah College,26,1154,41341,23000,26856,9181,99220.26,91486,0.659
Methodist University,21,961,45011,11200,0,11200,63251.18,45688.5,0.6122
Metropolitan State University,0,0,18170,15250,18750,13592.5,45224.91,34503,1
Metropolitan State University of Denver,21,973,14034,13450.5,25000,9997,46429.22,32755,0.7116
Miami University-Oxford,28,1240,30858,16766.5,25000,9500,94869.73,81424.5,0.6676
Michigan Jewish Institute,0,0,15022,0,0,0,29057.67,27033,0.981
Michigan State University,26,1158,23740,22734,25714,15442,87289.4,78152,0.6865
Michigan Technological University,27,1206,24724,21812,27000,11000,82033.18,76868.5,0.7659
MidAmerica Nazarene University,20,950,32388,15000,17433,12500,70290.04,60929,0.7223
Middle Georgia State College,0,0,13472,8000,11204.5,7000,0,0,0.4486
Middle Tennessee State University,22,1011,17501,15000,22170.5,10250,57627.86,42980,0.6996
Middlebury College,32,1391,59200,17777.5,19500,10245.5,86276.38,60997.5,0.1716
Midland University,21,970,36214,11500,24250,8000,68281.17,64320,0.6832
Midway College,22,1032,33132,16750,22845,10500,49200.78,37808,0.5381
Midwestern State University,21,993,15704,14950,23000,9500,54598.69,42383.5,0.7178
Millersville University of Pennsylvania,22,1014,21756,18500,25000,12000,79131.92,73644,0.7186
Millikin University,24,1087,39576,22000,27000,11750,76988.11,68264.5,0.5512
Milwaukee School of Engineering,28,1244,43747,25893,27000,10500,82875.91,77754,0.6839
Minnesota State University-Mankato,22,1030,17578,15116,23029,10490,76286.68,71852,0.6555
Minnesota State University-Moorhead,23,1049,18028,15772,23055.5,10000,68582.76,64384,0.8911
Minot State University,22,1004,14549,12878.5,22000,8845,51835.46,43540,0.5662
Misericordia University,23,1057,38504,22212.5,27000,10513.5,70680.66,66143,0.6489
Mississippi College,24,1098,25976,16625,26250,9564,54620.08,37912,0.673
Mississippi State University,24,1106,20796,15500,23250,10453,57616.67,41243.5,0.6482
Mississippi University for Women,21,995,15935,14000,16473,12500,38199.88,26756,0.4349
Mississippi Valley State University,17,825,17758,20969,29038,20750,21921.99,17447,0.2272
Missouri Baptist University,22,1001,30542,15807,22000,12252,60271.01,50739.5,0.6095
Missouri Southern State University,21,990,14143,11500,21500,8250,43502.53,32426,0.9728
Missouri State University-Springfield,24,1090,19117,15000,22375,10250,69002.88,57869.5,0.851
Missouri University of Science and Technology,28,1263,22102,18843,25000,11168.5,76783.85,71244,0.8215
Missouri Valley College,20,920,28754,10500,26800,8017.5,57807.29,49223.5,0.2218
Molloy College,23,1054,36702,25000,27000,14750,71465.93,58419,0.7267
Monmouth College,23,1049,40578,22000,27000,10000,81617.83,76102,0.6431
Monmouth University,24,1063,42307,22500,26749,8750,101531.99,91415.5,0.7791
Montana State University,24,1115,18486,14465,24801,11500,63595.51,49742,0.8449
Montana State University-Northern,20,925,17290,10500,18022.5,7689,41110.94,30602,1
Montana Tech of the University of Montana,24,1115,16434,11117,19495.5,9225,46815.34,33463,0.8891
Montclair State University,0,970,22773,19000,23875,10500,69758.99,53696,0.6532
Moody Bible Institute,0,0,25537,0,0,0,0,0,0.6855
Moravian College,0,0,45863,24250,27000,10700,99877.25,88320,0.7995
Morehead State University,22,1028,17805,14250,24093,9500,43820.8,32312,0.8449
Morehouse College,21,990,45451,25999.5,27000,22375,68960.56,53238.5,0.6684
Morgan State University,18,893,20108,22907,31000,16000,51957.78,40263.5,0.5757
Morningside College,23,1050,36280,19932,27000,10375,68803.77,64251,0.5337
Mount Holyoke College,0,0,55496,20000,21000,10875,89314.58,73414.5,0.4681
Mount Ida College,18,880,41565,19000,27000,9500,74459.36,61177,0.6065
Mount Mercy University,22,1010,37183,19500,24199,12000,71565.62,65962.5,0.6845
Mount Olive College,19,915,26161,18845,26500,11083,49273.48,38102,0.4979
Mount Saint Mary College,22,1006,38808,20910,25000,11750,78289.24,69110,0.86
Mount St Mary's College,19,928,47905,21500,25000,12667,54413.5,39973.5,0.7409
Mount St Mary's University,20,1060,45896,19500,27000,10250,107762.06,98879,0.6741
Mount Vernon Nazarene University,23,1071,33321,21875,26493,16250,69623.18,64078,0.6349
Muhlenberg College,28,1246,53637,24187,26941,10200,125281.36,110473,0.4616
Murray State University,22,1029,16397,14875,21583,10307,56815.45,46054.5,0.8217
Muskingum University,21,983,33630,18751,27000,10250,74459.31,70305,0.7596
National Louis University,0,0,30180,16378,19500,14929.5,45871.25,33876.5,0.9881
Nazareth College,0,0,41298,22125,26497.5,8750,82407.74,76650,0.6839
Nebraska Wesleyan University,24,1109,36429,19500,27000,11202.5,79498.08,74606,0.7689
Neumann University,18,861,37314,20000,27000,9500,79974.68,72393.5,0.5531
Nevada State College,0,0,16547,11819.5,24756,10391,61238.62,45534,0.5037
New England College,0,0,46261,9746,27000,8540,81948.75,72232.5,0.8997
New Jersey City University,0,917,19058,13250.5,18000,10750,41680.76,30520,0.4129
New Jersey Institute of Technology,26,1142,26700,16145,21182.5,11000,60206.72,43773,0.6547
New Mexico Institute of Mining and Technology,26,1200,17600,9283,16083,7500,60441.2,42214,0.4136
New Mexico State University-Main Campus,21,982,17290,11147,19500,8500,38201.24,26390.5,0.852
New York Institute of Technology,22,1039,39014,17250,25485,11283,56926.77,40609.5,0.7407
New York University,30,1352,60059,21500,23250,15775,99964.68,74827,0.2605
Newberry College,20,938,37837,21492,27000,11000,66769.16,53768,0.5908
Newman University,24,1079,33524,16945,21625,11000,57296.43,43838,0.4472
Niagara University,23,1038,38829,21000,25650,12500,81807.37,77507.5,0.6633
Nicholls State University,22,1030,16071,11555,21888.5,9193,45301.91,32069.5,0.8694
Nichols College,21,940,44886,15782.5,27000,8750,87096.01,81300.5,0.8047
Norfolk State University,18,879,18837,21500,31000,15750,46384.91,36184,0.6499
North Carolina A & T State University,19,902,15313,19843,23005.5,19500,50618.06,37668.5,0.6964
North Carolina Central University,18,859,17873,21670,30203,14814.5,40378.24,29880,0.5033
North Carolina State University at Raleigh,28,1229,20511,17750,20500,12000,76057.18,66351,0.5001
North Carolina Wesleyan College,18,863,36686,13514,22920,9500,51983.81,38164.5,0.4676
North Central College,25,1125,41218,20000,25002,8333,88589.6,83750,0.6365
